"Club_A","Club_B","Result_A","Result_B","Winner","Elo_A","Elo_B","Round","Stage","Penalty"
"Liverpool","Braga",5,2,"Liverpool",1993.41796875,1650.64880371,1,"Knockout",""
"Arsenal","Rangers",4,1,"Arsenal",1993.3404541,1587.43994141,1,"Knockout",""
"Paris SG","Fiorentina",2,2.2,"Fiorentina",1974.93762207,1756.97180176,1,"Knockout","Penalty"
"Barcelona","Frankfurt",2,1,"Barcelona",1945.43041992,1745.75793457,1,"Knockout",""
"Real Madrid","Midtjylland",4,3,"Real Madrid",1936.12731934,1595.68408203,1,"Knockout",""
"Inter","Steaua",4,0,"Inter",1933.2421875,1555.09423828,1,"Knockout",""
"Bayern","Celje",11,1,"Bayern",1918.99780273,1379.47290039,1,"Knockout",""
"Atletico","Feyenoord",9,2,"Atletico",1855.34960938,1738.36352539,1,"Knockout",""
"Leverkusen","St Gillis",5,4,"Leverkusen",1848.78601074,1730.55700684,1,"Knockout",""
"Atalanta","Videoton",6,1,"Atalanta",1842.22375488,1235.41149902,1,"Knockout",""
"Crystal Palace","Marseille",3.2,3,"Crystal Palace",1835.04040527,1756.52758789,1,"Knockout","Penalty"
"Roma","Porto",4,2,"Roma",1819.65991211,1678.19543457,1,"Knockout",""
"Dortmund","Brugge",1.2,1,"Dortmund",1818.35009766,1747.07775879,1,"Knockout","Penalty"
"Bournemouth","Lyon",3,2,"Bournemouth",1808.09545898,1744.62866211,1,"Knockout",""
"PSV","Crvena Zvezda",2,1,"PSV",1797.03527832,1580.66638184,1,"Knockout",""
"Villarreal","Slavia Praha",1,2,"Slavia Praha",1785.54626465,1694.71618652,1,"Knockout",""
"Slavia Praha","PSV",3,3.2,"PSV",1694.71618652,1797.03527832,2,"Knockout","Penalty"
"Dortmund","Bayern",4,5,"Bayern",1818.35009766,1918.99780273,2,"Knockout",""
"Atletico","Inter",2,0,"Atletico",1855.34960938,1933.2421875,2,"Knockout",""
"Fiorentina","Leverkusen",3,3.2,"Leverkusen",1756.97180176,1848.78601074,2,"Knockout","Penalty"
"Bournemouth","Roma",5,4,"Bournemouth",1808.09545898,1819.65991211,2,"Knockout",""
"Crystal Palace","Real Madrid",2,1,"Crystal Palace",1835.04040527,1936.12731934,2,"Knockout",""
"Liverpool","Arsenal",2,4,"Arsenal",1993.41796875,1993.3404541,2,"Knockout",""
"Barcelona","Atalanta",3,1,"Barcelona",1945.43041992,1842.22375488,2,"Knockout",""
"Atletico","PSV",3,0,"Atletico",1855.34960938,1797.03527832,3,"Knockout",""
"Barcelona","Bournemouth",5,2,"Barcelona",1945.43041992,1808.09545898,3,"Knockout",""
"Crystal Palace","Arsenal",3,1,"Crystal Palace",1835.04040527,1993.3404541,3,"Knockout",""
"Leverkusen","Bayern",3,5,"Bayern",1848.78601074,1918.99780273,3,"Knockout",""
"Bayern","Barcelona",4,1,"Bayern",1918.99780273,1945.43041992,4,"Knockout",""
"Crystal Palace","Atletico",3,3.2,"Atletico",1835.04040527,1855.34960938,4,"Knockout","Penalty"
"Bayern","Atletico",3.2,3,"Bayern",1918.99780273,1855.34960938,5,"Knockout","Penalty"
